isBuggy,Modify Lines,Add Lines,Delete Lines,Distribution modified Lines,numOfBIC,AuthorID,fileAge,SumOfSourceRevision,SumOfDeveloper,CommitHour,CommitDate,AGE,numOfSubsystems,numOfDirectories,numOfFiles,NUC,developerExperience,REXP,LT,Key
clean,0.0024630541,0.0012315271,0.0012315271,0,4," Petahhh@users.noreply.github.com",,48,17,07,Thursday,27,2,4,4,1.0,1,1.0,812,957574d7fdb4b6ab8fb6a1aead4d7ca1476bdbc9-geode-core-src-main-java-org-apache-geode-management-internal-cli-commands-CreateRegionCommand.java
clean,0.1521739,0.06521739,0.08695652,0,1," Petahhh@users.noreply.github.com",,3,3,07,Thursday,20,2,4,4,1.0,1,1.0,46,957574d7fdb4b6ab8fb6a1aead4d7ca1476bdbc9-geode-core-src-main-java-org-apache-geode-management-internal-configuration-validators-RegionConfigValidator.java
clean,0.48559672,0.24279836,0.24279836,6,0," Petahhh@users.noreply.github.com",,1,1,07,Thursday,0,2,4,4,1.0,1,1.0,243,957574d7fdb4b6ab8fb6a1aead4d7ca1476bdbc9-geode-management-src-main-java-org-apache-geode-cache-RegionShortcut.java
clean,0.008303678,0.0047449586,0.0035587188,1,0," Petahhh@users.noreply.github.com",,8,3,07,Thursday,5,2,4,4,1.0,1,1.0,843,957574d7fdb4b6ab8fb6a1aead4d7ca1476bdbc9-geode-management-src-main-java-org-apache-geode-cache-configuration-RegionConfig.java
clean,0.0026041667,0.0,0.0026041667,0,0," Petahhh@users.noreply.github.com",,20,13,17,Monday,24,4,6,6,1.0,2,2.0,384,59b9b022135d06ad8a7f8079aa18813b4ff5503e-geode-dunit-src-main-java-org-apache-geode-test-dunit-rules-ClusterStartupRule.java
clean,0.026666667,0.026666667,0.0,0,0," Petahhh@users.noreply.github.com",,3,2,17,Monday,10,4,6,6,1.0,2,2.0,75,59b9b022135d06ad8a7f8079aa18813b4ff5503e-geode-management-src-main-java-org-apache-geode-management-api-ClusterManagementService.java
clean,0.03818182,0.03818182,0.0,5,1," Petahhh@users.noreply.github.com",,18,11,17,Monday,46,4,6,6,1.0,2,2.0,550,59b9b022135d06ad8a7f8079aa18813b4ff5503e-geode-dunit-src-main-java-org-apache-geode-test-junit-rules-MemberStarterRule.java
clean,0.23333333,0.16666667,0.06666667,0,0," Petahhh@users.noreply.github.com",,2,2,17,Monday,96,4,6,6,1.0,2,2.0,30,59b9b022135d06ad8a7f8079aa18813b4ff5503e-geode-junit-src-main-java-org-apache-geode-test-junit-rules-gfsh-DebuggableCommand.java
clean,0.016880486,0.0114787305,0.0054017557,0,20," Petahhh@users.noreply.github.com",,65,27,17,Monday,10,4,6,6,1.0,2,2.0,1481,59b9b022135d06ad8a7f8079aa18813b4ff5503e-geode-core-src-main-java-org-apache-geode-distributed-internal-InternalLocator.java
clean,0.15151516,0.121212125,0.030303031,0,0," Petahhh@users.noreply.github.com",,2,2,17,Monday,305,4,6,6,1.0,2,2.0,33,59b9b022135d06ad8a7f8079aa18813b4ff5503e-geode-junit-src-main-java-org-apache-geode-test-junit-rules-accessible-AccessibleRestoreSystemProperties.java
clean,0.025974026,0.012987013,0.012987013,0,0," Petahhh@users.noreply.github.com",,4,2,06,Monday,6,2,2,2,0.5,3,3.0,77,f28e870be40afbe757ba5f082876876190353b85-geode-management-src-main-java-org-apache-geode-management-api-ClusterManagementService.java
clean,0.121212125,0.09090909,0.030303031,1,0," Petahhh@users.noreply.github.com",,3,2,06,Monday,6,2,2,2,0.5,3,3.0,33,f28e870be40afbe757ba5f082876876190353b85-geode-junit-src-main-java-org-apache-geode-test-junit-rules-gfsh-DebuggableCommand.java
