isBuggy,Modify Lines,Add Lines,Delete Lines,Distribution modified Lines,numOfBIC,AuthorID,fileAge,SumOfSourceRevision,SumOfDeveloper,CommitHour,CommitDate,AGE,numOfSubsystems,numOfDirectories,numOfFiles,NUC,developerExperience,REXP,LT,Key
clean,0.102514505,0.07156673,0.030947777,6,0," 41928668+sabbeyPivotal@users.noreply.github.com",,2,2,14,Wednesday,335,1,3,8,0.375,1,1.0,517,d3ecaaafd7b08c667c1a7a4eb36060ea560b0347-geode-redis-src-main-java-org-apache-geode-redis-internal-Coder.java
clean,0.018518519,0.009259259,0.009259259,1,0," 41928668+sabbeyPivotal@users.noreply.github.com",,2,2,14,Wednesday,335,1,3,8,0.375,1,1.0,216,d3ecaaafd7b08c667c1a7a4eb36060ea560b0347-geode-redis-src-main-java-org-apache-geode-redis-internal-GeoCoder.java
clean,0.012658228,0.006329114,0.006329114,0,0," 41928668+sabbeyPivotal@users.noreply.github.com",,4,4,14,Wednesday,8,1,3,8,0.375,1,1.0,158,d3ecaaafd7b08c667c1a7a4eb36060ea560b0347-geode-redis-src-main-java-org-apache-geode-redis-internal-executor-AbstractExecutor.java
clean,0.109140515,0.0627558,0.046384722,19,0," 41928668+sabbeyPivotal@users.noreply.github.com",,5,5,14,Wednesday,13,1,3,8,0.375,1,1.0,733,d3ecaaafd7b08c667c1a7a4eb36060ea560b0347-geode-redis-src-main-java-org-apache-geode-redis-GeodeRedisServer.java
clean,0.12068965,0.094827585,0.02586207,1,0," 41928668+sabbeyPivotal@users.noreply.github.com",,2,2,14,Wednesday,335,1,3,8,0.375,1,1.0,116,d3ecaaafd7b08c667c1a7a4eb36060ea560b0347-geode-redis-src-main-java-org-apache-geode-redis-internal-RedisDataType.java
clean,0.006060606,0.006060606,0.0,0,0," 41928668+sabbeyPivotal@users.noreply.github.com",,2,2,14,Wednesday,335,1,3,8,0.375,1,1.0,330,d3ecaaafd7b08c667c1a7a4eb36060ea560b0347-geode-redis-src-main-java-org-apache-geode-redis-internal-RedisConstants.java
clean,0.021847071,0.021847071,0.0,1,0," 41928668+sabbeyPivotal@users.noreply.github.com",,2,2,14,Wednesday,335,1,3,8,0.375,1,1.0,3021,d3ecaaafd7b08c667c1a7a4eb36060ea560b0347-geode-redis-src-main-java-org-apache-geode-redis-internal-RedisCommandType.java
buggy,0.12182741,0.07360406,0.04822335,11,1," 41928668+sabbeyPivotal@users.noreply.github.com",,3,3,14,Wednesday,13,1,3,8,0.375,1,1.0,394,d3ecaaafd7b08c667c1a7a4eb36060ea560b0347-geode-redis-src-main-java-org-apache-geode-redis-internal-ExecutionHandlerContext.java
clean,0.0040268456,0.0026845639,0.0013422819,1,0," 41928668+sabbeyPivotal@users.noreply.github.com",,6,5,18,Saturday,3,1,4,8,0.375,2,2.0,745,9f8a2ff2b43c183b4824dd5ab764ecd2243cb2e1-geode-redis-src-main-java-org-apache-geode-redis-GeodeRedisServer.java
clean,0.078431375,0.039215688,0.039215688,0,0," 41928668+sabbeyPivotal@users.noreply.github.com",,1,1,18,Saturday,0,1,4,8,0.375,2,2.0,51,9f8a2ff2b43c183b4824dd5ab764ecd2243cb2e1-geode-redis-src-main-java-org-apache-geode-redis-internal-executor-pubsub-PublishExecutor.java
buggy,0.6691176,0.30882353,0.3602941,3,1," 41928668+sabbeyPivotal@users.noreply.github.com",,1,1,18,Saturday,0,1,4,8,0.375,2,2.0,136,9f8a2ff2b43c183b4824dd5ab764ecd2243cb2e1-geode-redis-src-main-java-org-apache-geode-redis-internal-PubSubImpl.java
buggy,0.57831323,0.33734939,0.24096386,3,1," 41928668+sabbeyPivotal@users.noreply.github.com",,1,1,18,Saturday,0,1,4,8,0.375,2,2.0,83,9f8a2ff2b43c183b4824dd5ab764ecd2243cb2e1-geode-redis-src-main-java-org-apache-geode-redis-internal-AbstractSubscription.java
clean,0.4117647,0.4117647,0.0,2,0," 41928668+sabbeyPivotal@users.noreply.github.com",,1,1,18,Saturday,0,1,4,8,0.375,2,2.0,51,9f8a2ff2b43c183b4824dd5ab764ecd2243cb2e1-geode-redis-src-main-java-org-apache-geode-redis-internal-PubSub.java
clean,0.01814059,0.01814059,0.0,3,0," 41928668+sabbeyPivotal@users.noreply.github.com",,3,2,18,Saturday,3,1,4,8,0.375,2,2.0,3087,9f8a2ff2b43c183b4824dd5ab764ecd2243cb2e1-geode-redis-src-main-java-org-apache-geode-redis-internal-RedisCommandType.java
clean,0.10909091,0.10909091,0.0,1,0," 41928668+sabbeyPivotal@users.noreply.github.com",,2,2,18,Saturday,338,1,4,8,0.375,2,2.0,165,9f8a2ff2b43c183b4824dd5ab764ecd2243cb2e1-geode-redis-src-main-java-org-apache-geode-redis-internal-org-apache-hadoop-fs-GlobPattern.java
clean,0.040816326,0.020408163,0.020408163,0,0," 41928668+sabbeyPivotal@users.noreply.github.com",,1,1,18,Saturday,0,1,4,8,0.375,2,2.0,49,9f8a2ff2b43c183b4824dd5ab764ecd2243cb2e1-geode-redis-src-main-java-org-apache-geode-redis-internal-Client.java
clean,0.03190184,0.03190184,0.0,3,0," 41928668+sabbeyPivotal@users.noreply.github.com",,13,10,14,Friday,1,1,3,3,1.0,3,3.0,815,a3fb386a4c31ea60ceb39de50789cd6336145cc5-geode-redis-src-main-java-org-apache-geode-redis-GeodeRedisServer.java
clean,0.40860215,0.13978495,0.26881722,1,0," 41928668+sabbeyPivotal@users.noreply.github.com",,5,5,14,Friday,3,1,3,3,1.0,3,3.0,93,a3fb386a4c31ea60ceb39de50789cd6336145cc5-geode-redis-src-main-java-org-apache-geode-redis-internal-executor-hash-HGetAllExecutor.java
buggy,0.07526882,0.06451613,0.010752688,1,1," 41928668+sabbeyPivotal@users.noreply.github.com",,1,1,14,Friday,0,1,3,3,1.0,3,3.0,93,a3fb386a4c31ea60ceb39de50789cd6336145cc5-geode-redis-src-main-java-org-apache-geode-redis-internal-RedisLockService.java
clean,0.03846154,0.01923077,0.01923077,0,0," 41928668+sabbeyPivotal@users.noreply.github.com",,5,5,13,Tuesday,35,1,1,1,1.0,4,4.0,52,90a3d50998308150c355422a22fc5d192c009ea2-geode-redis-src-main-java-org-apache-geode-redis-internal-executor-PersistExecutor.java
clean,0.375,0.14583333,0.22916667,0,0," 41928668+sabbeyPivotal@users.noreply.github.com",,6,6,15,Friday,38,1,2,2,1.0,5,5.0,48,5e025a74e21de3843cfa3ecdfd91cd7051e96267-geode-redis-src-main-java-org-apache-geode-redis-internal-executor-ExistsExecutor.java
clean,0.0033557047,0.0016778524,0.0016778524,0,0," 41928668+sabbeyPivotal@users.noreply.github.com",,8,8,15,Friday,32,1,2,2,1.0,5,5.0,596,5e025a74e21de3843cfa3ecdfd91cd7051e96267-geode-redis-src-main-java-org-apache-geode-redis-internal-RegionProvider.java
clean,0.12658228,0.12658228,0.0,1,0," 41928668+sabbeyPivotal@users.noreply.github.com",,1,1,11,Tuesday,0,1,4,6,0.6666667,6,6.0,79,3aa36591d2c5f0610f5a819cdd4552037caf1c0b-geode-redis-src-main-java-org-apache-geode-redis-internal-executor-set-GeodeRedisSetSynchronized.java
clean,0.011641444,0.011641444,0.0,1,0," 41928668+sabbeyPivotal@users.noreply.github.com",,18,11,11,Tuesday,6,1,4,6,0.6666667,6,6.0,859,3aa36591d2c5f0610f5a819cdd4552037caf1c0b-geode-redis-src-main-java-org-apache-geode-redis-GeodeRedisServer.java
