isBuggy,Modify Lines,Add Lines,Delete Lines,Distribution modified Lines,numOfBIC,AuthorID,fileAge,SumOfSourceRevision,SumOfDeveloper,CommitHour,CommitDate,AGE,numOfSubsystems,numOfDirectories,numOfFiles,NUC,developerExperience,REXP,LT,Key
clean,0.35897437,0.20512821,0.15384616,0,0," jhutchison@gmail.com",,2,2,08,Friday,371,1,1,2,1.0,1,1.0,39,f84d3e645d2b67e362534a01bacf31337896d186-geode-redis-src-main-java-org-apache-geode-redis-internal-executor-ExpirationExecutor.java
clean,0.14893617,0.07446808,0.07446808,1,0," jhutchison@gmail.com",,5,5,08,Friday,10,1,1,2,1.0,1,1.0,94,f84d3e645d2b67e362534a01bacf31337896d186-geode-redis-src-main-java-org-apache-geode-redis-internal-executor-ExpireExecutor.java
clean,0.031914894,0.021276595,0.010638298,0,0," jhutchison@gmail.com",,6,5,10,Monday,10,1,1,1,1.0,2,2.0,94,fb2c273c3e9307e8956c7127d208a50b4bbb1a43-geode-redis-src-main-java-org-apache-geode-redis-internal-executor-ExpireExecutor.java
clean,0.014962593,0.009975063,0.0049875313,0,1," jhutchison@gmail.com",,9,8,13,Thursday,28,1,2,2,1.0,3,3.0,401,464c7495c35c62241cfd20ace5722c873ff5068b-geode-redis-src-main-java-org-apache-geode-redis-internal-ExecutionHandlerContext.java
clean,0.7307692,0.33333334,0.3974359,2,0," jhutchison@gmail.com",,5,5,13,Thursday,30,1,2,2,1.0,3,3.0,78,464c7495c35c62241cfd20ace5722c873ff5068b-geode-redis-src-main-java-org-apache-geode-redis-internal-executor-set-SAddExecutor.java
clean,0.3448276,0.31034482,0.03448276,2,0," jhutchison@gmail.com",,4,3,06,Friday,2,2,2,2,1.0,4,4.0,58,343e114935fad6a78628a57b948cdd08ee0751d9-geode-redis-src-main-java-org-apache-geode-redis-internal-executor-SingleResultRedisFunction.java
clean,0.0023504065,0.0023504065,0.0,1,21," jhutchison@gmail.com",,145,48,06,Friday,0,2,2,2,1.0,4,4.0,10211,343e114935fad6a78628a57b948cdd08ee0751d9-geode-core-src-main-java-org-apache-geode-internal-cache-PartitionedRegion.java
clean,0.007380074,0.003690037,0.003690037,0,1," jhutchison@gmail.com",,16,9,16,Wednesday,2,1,3,9,0.6666667,5,5.0,271,a9304cd32b0293484576411aa88fb980b7ee42ee-geode-redis-src-main-java-org-apache-geode-redis-internal-RedisCommandType.java
clean,0.0625,0.0625,0.0,0,0," jhutchison@gmail.com",,2,2,16,Wednesday,6,1,3,9,0.6666667,5,5.0,32,a9304cd32b0293484576411aa88fb980b7ee42ee-geode-redis-src-main-java-org-apache-geode-redis-internal-executor-RedisKeyCommands.java
clean,0.1904762,0.17460318,0.015873017,1,0," jhutchison@gmail.com",,3,3,16,Wednesday,19,1,3,9,0.6666667,5,5.0,63,a9304cd32b0293484576411aa88fb980b7ee42ee-geode-redis-src-main-java-org-apache-geode-redis-internal-executor-set-SynchronizedStripedExecutor.java
clean,0.014336918,0.0035842294,0.010752688,1,0," jhutchison@gmail.com",,12,4,16,Wednesday,6,1,3,9,0.6666667,5,5.0,279,a9304cd32b0293484576411aa88fb980b7ee42ee-geode-redis-src-main-java-org-apache-geode-redis-internal-executor-CommandFunction.java
clean,0.52307695,0.52307695,0.0,1,0," jhutchison@gmail.com",,3,3,16,Wednesday,6,1,3,9,0.6666667,5,5.0,65,a9304cd32b0293484576411aa88fb980b7ee42ee-geode-redis-src-main-java-org-apache-geode-redis-internal-executor-RedisKeyCommandsFunctionExecutor.java
clean,0.0128410915,0.011235955,0.0016051364,1,0," jhutchison@gmail.com",,18,6,16,Wednesday,0,1,3,9,0.6666667,5,5.0,623,a9304cd32b0293484576411aa88fb980b7ee42ee-geode-redis-src-main-java-org-apache-geode-redis-internal-GeodeRedisServer.java
clean,0.18421052,0.13157895,0.05263158,1,0," jhutchison@gmail.com",,2,2,16,Wednesday,21,1,3,9,0.6666667,5,5.0,38,a9304cd32b0293484576411aa88fb980b7ee42ee-geode-redis-src-main-java-org-apache-geode-redis-internal-executor-set-StripedExecutor.java
clean,0.114285715,0.114285715,0.0,0,0," jhutchison@gmail.com",,3,2,16,Wednesday,6,1,3,9,0.6666667,5,5.0,105,a9304cd32b0293484576411aa88fb980b7ee42ee-geode-redis-src-main-java-org-apache-geode-redis-internal-executor-RedisKeyInRegion.java
clean,0.68085104,0.095744684,0.5851064,0,0," jhutchison@gmail.com",,7,5,16,Wednesday,7,1,3,9,0.6666667,5,5.0,94,a9304cd32b0293484576411aa88fb980b7ee42ee-geode-redis-src-main-java-org-apache-geode-redis-internal-executor-RenameExecutor.java
clean,1.5106384,1.0567375,0.4539007,2,0," jhutchison@gmail.com",,17,8,10,Friday,8,1,1,1,1.0,6,6.0,141,f84e9e8442a537ea01b663b7eef1e15b14bb74a4-geode-redis-src-main-java-org-apache-geode-redis-internal-executor-string-SetExecutor.java
