isBuggy,Modify Lines,Add Lines,Delete Lines,Distribution modified Lines,numOfBIC,AuthorID,fileAge,SumOfSourceRevision,SumOfDeveloper,CommitHour,CommitDate,AGE,numOfSubsystems,numOfDirectories,numOfFiles,NUC,developerExperience,REXP,LT,Key
clean,0.04464286,0.0,0.04464286,0,0," aengineer@apache.org",,1,1,11,Tuesday,0,1,5,5,0.8,71,31.5,224,a301827c6a532f09f53b515e15c46e503fb7a474-hadoop-hdfs-project-hadoop-hdfs-src-main-java-org-apache-hadoop-ozone-web-handlers-BucketArgs.java
clean,0.28,0.24,0.04,0,0," aengineer@apache.org",,5,3,11,Tuesday,0,1,5,5,0.8,71,31.5,50,a301827c6a532f09f53b515e15c46e503fb7a474-hadoop-hdfs-project-hadoop-hdfs-src-main-java-org-apache-hadoop-ozone-web-headers-Header.java
clean,0.67701864,0.67701864,0.0,1,0," aengineer@apache.org",,2,2,11,Tuesday,0,1,5,5,0.8,71,31.5,161,a301827c6a532f09f53b515e15c46e503fb7a474-hadoop-hdfs-project-hadoop-hdfs-src-main-java-org-apache-hadoop-ozone-web-localstorage-LocalStorageHandler.java
clean,0.6854839,0.6854839,0.0,1,0," aengineer@apache.org",,2,2,11,Tuesday,0,1,5,5,0.8,71,31.5,124,a301827c6a532f09f53b515e15c46e503fb7a474-hadoop-hdfs-project-hadoop-hdfs-src-main-java-org-apache-hadoop-ozone-web-interfaces-StorageHandler.java
clean,0.024271844,0.024271844,0.0,1,0," aengineer@apache.org",,2,2,11,Tuesday,0,1,5,5,0.8,71,31.5,206,a301827c6a532f09f53b515e15c46e503fb7a474-hadoop-hdfs-project-hadoop-hdfs-src-main-java-org-apache-hadoop-ozone-web-exceptions-ErrorTable.java
clean,0.21621622,0.1891892,0.027027028,1,0," aengineer@apache.org",,1,1,11,Monday,0,1,2,2,1.0,72,32.5,37,ae109d1de7485f986147a5a516b266b339fb9f22-hadoop-hdfs-project-hadoop-hdfs-src-main-java-org-apache-hadoop-ozone-OzoneConfigKeys.java
clean,0.016666668,0.016666668,0.0,0,0," aengineer@apache.org",,6,3,11,Monday,0,1,2,2,1.0,72,32.5,60,ae109d1de7485f986147a5a516b266b339fb9f22-hadoop-hdfs-project-hadoop-hdfs-src-main-java-org-apache-hadoop-ozone-web-headers-Header.java
clean,0.07037037,0.05185185,0.018518519,6,0," aengineer@apache.org",,3,2,11,Friday,0,1,2,3,0.6666667,73,33.5,270,f6b9c0f8a1a10db57145b49cb2a0c45b9c0341cc-hadoop-hdfs-project-hadoop-hdfs-src-main-java-org-apache-hadoop-ozone-web-localstorage-LocalStorageHandler.java
clean,0.018957347,0.018957347,0.0,0,0," aengineer@apache.org",,3,2,11,Friday,0,1,2,3,0.6666667,73,33.5,211,f6b9c0f8a1a10db57145b49cb2a0c45b9c0341cc-hadoop-hdfs-project-hadoop-hdfs-src-main-java-org-apache-hadoop-ozone-web-exceptions-ErrorTable.java
clean,0.8032407,0.7083333,0.09490741,17,0," aengineer@apache.org",,2,2,11,Friday,0,1,2,3,0.6666667,73,33.5,432,f6b9c0f8a1a10db57145b49cb2a0c45b9c0341cc-hadoop-hdfs-project-hadoop-hdfs-src-main-java-org-apache-hadoop-ozone-web-localstorage-OzoneMetadataManager.java
