isBuggy,Modify Lines,Add Lines,Delete Lines,Distribution modified Lines,numOfBIC,AuthorID,fileAge,SumOfSourceRevision,SumOfDeveloper,CommitHour,CommitDate,AGE,numOfSubsystems,numOfDirectories,numOfFiles,NUC,developerExperience,REXP,LT,Key
clean,0.06097561,0.036585364,0.024390243,0,0," yufei@apache.org",,11,6,22,Thursday,266,1,1,1,1.0,40,25.0,82,6b21a599fbd53e3d6113fcd9a984f6ac59ccd302-hadoop-yarn-project-hadoop-yarn-hadoop-yarn-server-hadoop-yarn-server-resourcemanager-src-main-java-org-apache-hadoop-yarn-server-resourcemanager-reservation-NoOverCommitPolicy.java
clean,0.17295597,0.1163522,0.056603774,2,0," yufei@apache.org",,11,5,10,Tuesday,28,1,1,1,1.0,41,26.0,318,e89941fdbb3b382eeb487d32e5194909610ac334-hadoop-yarn-project-hadoop-yarn-hadoop-yarn-server-hadoop-yarn-server-resourcemanager-src-main-java-org-apache-hadoop-yarn-server-resourcemanager-scheduler-fair-FSPreemptionThread.java
clean,0.0102739725,0.0034246575,0.006849315,0,0," yufei@apache.org",,2,2,22,Monday,177,1,4,9,0.6666667,42,16.5,292,5257f50abb71905ef3068fd45541d00ce9e8f355-hadoop-yarn-project-hadoop-yarn-hadoop-yarn-server-hadoop-yarn-server-resourcemanager-src-main-java-org-apache-hadoop-yarn-server-resourcemanager-scheduler-fair-allocation-QueueProperties.java
clean,0.11445783,0.090361446,0.024096385,3,0," yufei@apache.org",,1,1,22,Monday,0,1,4,9,0.6666667,42,16.5,166,5257f50abb71905ef3068fd45541d00ce9e8f355-hadoop-yarn-project-hadoop-yarn-hadoop-yarn-server-hadoop-yarn-server-resourcemanager-src-main-java-org-apache-hadoop-yarn-server-resourcemanager-placement-FSPlacementRule.java
clean,0.13142857,0.08228572,0.049142856,3,2," yufei@apache.org",,126,39,22,Monday,10,1,4,9,0.6666667,42,16.5,875,5257f50abb71905ef3068fd45541d00ce9e8f355-hadoop-yarn-project-hadoop-yarn-hadoop-yarn-server-hadoop-yarn-server-resourcemanager-src-main-java-org-apache-hadoop-yarn-server-resourcemanager-RMAppManager.java
clean,0.071428575,0.024305556,0.047123015,8,6," yufei@apache.org",,308,45,22,Monday,10,1,4,9,0.6666667,42,16.5,2016,5257f50abb71905ef3068fd45541d00ce9e8f355-hadoop-yarn-project-hadoop-yarn-hadoop-yarn-server-hadoop-yarn-server-resourcemanager-src-main-java-org-apache-hadoop-yarn-server-resourcemanager-scheduler-fair-FairScheduler.java
clean,0.02245509,0.005988024,0.016467066,1,2," yufei@apache.org",,87,23,22,Monday,21,1,4,9,0.6666667,42,16.5,668,5257f50abb71905ef3068fd45541d00ce9e8f355-hadoop-yarn-project-hadoop-yarn-hadoop-yarn-server-hadoop-yarn-server-resourcemanager-src-main-java-org-apache-hadoop-yarn-server-resourcemanager-scheduler-fair-QueueManager.java
clean,0.014814815,0.0074074073,0.0074074073,0,0," yufei@apache.org",,3,3,22,Monday,284,1,4,9,0.6666667,42,16.5,135,5257f50abb71905ef3068fd45541d00ce9e8f355-hadoop-yarn-project-hadoop-yarn-hadoop-yarn-server-hadoop-yarn-server-resourcemanager-src-main-java-org-apache-hadoop-yarn-server-resourcemanager-placement-QueuePlacementRuleUtils.java
clean,0.07537688,0.040201005,0.03517588,5,0," yufei@apache.org",,39,18,22,Monday,177,1,4,9,0.6666667,42,16.5,398,5257f50abb71905ef3068fd45541d00ce9e8f355-hadoop-yarn-project-hadoop-yarn-hadoop-yarn-server-hadoop-yarn-server-resourcemanager-src-main-java-org-apache-hadoop-yarn-server-resourcemanager-scheduler-fair-AllocationConfiguration.java
clean,0.07734807,0.0359116,0.041436464,3,0," yufei@apache.org",,51,22,22,Monday,21,1,4,9,0.6666667,42,16.5,362,5257f50abb71905ef3068fd45541d00ce9e8f355-hadoop-yarn-project-hadoop-yarn-hadoop-yarn-server-hadoop-yarn-server-resourcemanager-src-main-java-org-apache-hadoop-yarn-server-resourcemanager-scheduler-fair-AllocationFileLoaderService.java
clean,1.9333333,1.4055556,0.5277778,1,0," yufei@apache.org",,12,7,22,Monday,1768,1,4,9,0.6666667,42,16.5,180,5257f50abb71905ef3068fd45541d00ce9e8f355-hadoop-yarn-project-hadoop-yarn-hadoop-yarn-server-hadoop-yarn-server-resourcemanager-src-main-java-org-apache-hadoop-yarn-server-resourcemanager-scheduler-fair-QueuePlacementPolicy.java
