isBuggy,Modify Lines,Add Lines,Delete Lines,Distribution modified Lines,numOfBIC,AuthorID,fileAge,SumOfSourceRevision,SumOfDeveloper,CommitHour,CommitDate,AGE,numOfSubsystems,numOfDirectories,numOfFiles,NUC,developerExperience,REXP,LT,Key
clean,0.016453382,0.0073126145,0.009140768,3,0," arp7@users.noreply.github.com",,16,6,14,Friday,134,1,3,4,1.0,1,1.0,547,f854a89190bd2453ccb1bfaa123d63d546e913cd-hadoop-hdds-server-scm-src-main-java-org-apache-hadoop-hdds-scm-container-states-ContainerStateMap.java
clean,0.032520324,0.032520324,0.0,0,0," arp7@users.noreply.github.com",,49,14,14,Friday,4,1,3,4,1.0,1,1.0,369,f854a89190bd2453ccb1bfaa123d63d546e913cd-hadoop-hdds-common-src-main-java-org-apache-hadoop-hdds-scm-ScmConfigKeys.java
clean,0.019267824,0.019267824,0.0,0,0," arp7@users.noreply.github.com",,17,7,14,Friday,6,1,3,4,1.0,1,1.0,519,f854a89190bd2453ccb1bfaa123d63d546e913cd-hadoop-hdds-server-scm-src-main-java-org-apache-hadoop-hdds-scm-container-SCMContainerManager.java
clean,0.04819277,0.04819277,0.0,0,0," arp7@users.noreply.github.com",,8,3,14,Friday,9,1,3,4,1.0,1,1.0,166,f854a89190bd2453ccb1bfaa123d63d546e913cd-hadoop-hdds-server-scm-src-main-java-org-apache-hadoop-hdds-scm-container-ContainerManager.java
clean,0.0021097045,0.0,0.0021097045,0,0," arp7@users.noreply.github.com",,26,9,20,Wednesday,3,1,1,1,1.0,2,2.0,474,b4ed81c4e62ea4b9f7955ab020a8e573373a1e25-hadoop-hdds-container-service-src-main-java-org-apache-hadoop-ozone-container-common-statemachine-DatanodeStateMachine.java
clean,0.016129032,0.008064516,0.008064516,0,0," arp7@users.noreply.github.com",,8,3,07,Saturday,206,2,24,41,0.5365854,3,3.0,124,ebbda181e4b79b5da5eaeb1e5b851435575de4b7-hadoop-hdds-server-scm-src-main-java-org-apache-hadoop-hdds-scm-exceptions-SCMException.java
clean,0.16858238,0.08429119,0.08429119,0,0," arp7@users.noreply.github.com",,35,11,07,Saturday,31,2,24,41,0.5365854,3,3.0,261,ebbda181e4b79b5da5eaeb1e5b851435575de4b7-hadoop-hdds-common-src-main-java-org-apache-hadoop-hdds-HddsConfigKeys.java
clean,0.3090909,0.15454546,0.15454546,5,0," arp7@users.noreply.github.com",,1,1,07,Saturday,0,2,24,41,0.5365854,3,3.0,110,ebbda181e4b79b5da5eaeb1e5b851435575de4b7-hadoop-hdds-server-scm-src-main-java-org-apache-hadoop-hdds-scm-safemode-SafeModeExitRule.java
clean,0.28070176,0.14035088,0.14035088,1,0," arp7@users.noreply.github.com",,1,1,07,Saturday,0,2,24,41,0.5365854,3,3.0,57,ebbda181e4b79b5da5eaeb1e5b851435575de4b7-hadoop-hdds-tools-src-main-java-org-apache-hadoop-hdds-scm-cli-SafeModeExitSubcommand.java
clean,0.19607843,0.09803922,0.09803922,4,0," arp7@users.noreply.github.com",,1,1,07,Saturday,0,2,24,41,0.5365854,3,3.0,153,ebbda181e4b79b5da5eaeb1e5b851435575de4b7-hadoop-hdds-server-scm-src-main-java-org-apache-hadoop-hdds-scm-safemode-OneReplicaPipelineSafeModeRule.java
