isBuggy,Modify Lines,Add Lines,Delete Lines,Distribution modified Lines,numOfBIC,AuthorID,fileAge,SumOfSourceRevision,SumOfDeveloper,CommitHour,CommitDate,AGE,numOfSubsystems,numOfDirectories,numOfFiles,NUC,developerExperience,REXP,LT,Key
clean,0.016528925,0.016528925,0.0,0,0," sammichen@apache.org",,47,13,17,Sunday,1,1,1,1,1.0,1,1.0,363,4d2a116d6ef865c29d0df0a743e91874942af412-hadoop-hdds-common-src-main-java-org-apache-hadoop-hdds-scm-ScmConfigKeys.java
clean,0.10377359,0.10377359,0.0,2,0," sammichen@apache.org",,14,13,21,Wednesday,33,2,2,11,0.54545456,2,2.0,212,d1aad444907e1fc5314e8e64529e57c51ed7561c-hadoop-hdfs-project-hadoop-hdfs-src-main-java-org-apache-hadoop-hdfs-server-datanode-fsdataset-impl-FsDatasetUtil.java
clean,0.067226894,0.05042017,0.016806724,1,0," sammichen@apache.org",,5,3,21,Wednesday,10,2,2,11,0.54545456,2,2.0,119,d1aad444907e1fc5314e8e64529e57c51ed7561c-hadoop-hdfs-project-hadoop-hdfs-src-main-java-org-apache-hadoop-hdfs-server-datanode-fsdataset-impl-MemoryMappableBlockLoader.java
clean,0.09259259,0.09259259,0.0,0,0," sammichen@apache.org",,1,1,21,Wednesday,0,2,2,11,0.54545456,2,2.0,54,d1aad444907e1fc5314e8e64529e57c51ed7561c-hadoop-hdfs-project-hadoop-hdfs-src-main-java-org-apache-hadoop-hdfs-server-datanode-fsdataset-impl-MemoryMappedBlock.java
clean,0.15789473,0.15789473,0.0,0,1," sammichen@apache.org",,11,8,21,Wednesday,82,2,2,11,0.54545456,2,2.0,38,d1aad444907e1fc5314e8e64529e57c51ed7561c-hadoop-hdfs-project-hadoop-hdfs-src-main-java-org-apache-hadoop-hdfs-server-datanode-fsdataset-impl-MappableBlock.java
clean,0.078125,0.078125,0.0,0,0," sammichen@apache.org",,2,2,21,Wednesday,28,2,2,11,0.54545456,2,2.0,64,d1aad444907e1fc5314e8e64529e57c51ed7561c-hadoop-hdfs-project-hadoop-hdfs-src-main-java-org-apache-hadoop-hdfs-server-datanode-fsdataset-impl-PmemMappedBlock.java
clean,0.00238308,0.00238308,0.0,0,9," sammichen@apache.org",,238,46,21,Wednesday,28,2,2,11,0.54545456,2,2.0,3357,d1aad444907e1fc5314e8e64529e57c51ed7561c-hadoop-hdfs-project-hadoop-hdfs-src-main-java-org-apache-hadoop-hdfs-server-datanode-fsdataset-impl-FsDatasetImpl.java
clean,0.071428575,0.05,0.021428572,2,0," sammichen@apache.org",,3,2,21,Wednesday,10,2,2,11,0.54545456,2,2.0,140,d1aad444907e1fc5314e8e64529e57c51ed7561c-hadoop-hdfs-project-hadoop-hdfs-src-main-java-org-apache-hadoop-hdfs-server-datanode-fsdataset-impl-PmemMappableBlockLoader.java
clean,0.05820106,0.037037037,0.02116402,2,0," sammichen@apache.org",,5,3,21,Wednesday,10,2,2,11,0.54545456,2,2.0,189,d1aad444907e1fc5314e8e64529e57c51ed7561c-hadoop-hdfs-project-hadoop-hdfs-src-main-java-org-apache-hadoop-hdfs-server-datanode-fsdataset-impl-MappableBlockLoader.java
clean,0.13677812,0.1337386,0.0030395137,3,11," sammichen@apache.org",,61,20,21,Wednesday,265,2,2,11,0.54545456,2,2.0,987,d1aad444907e1fc5314e8e64529e57c51ed7561c-hadoop-common-project-hadoop-common-src-main-java-org-apache-hadoop-io-nativeio-NativeIO.java
