isBuggy,Modify Lines,Add Lines,Delete Lines,Distribution modified Lines,numOfBIC,AuthorID,fileAge,SumOfSourceRevision,SumOfDeveloper,CommitHour,CommitDate,AGE,numOfSubsystems,numOfDirectories,numOfFiles,NUC,developerExperience,REXP,LT,Key
clean,0.012702079,0.012702079,0.0,0,0," jhung@linkedin.com",,45,21,17,Monday,164,1,9,9,0.7777778,6,3.5,866,3e06a5dcea8224ba71aec284df23b47d536bb06d-hadoop-yarn-project-hadoop-yarn-hadoop-yarn-client-src-main-java-org-apache-hadoop-yarn-client-api-AMRMClient.java
clean,0.010648596,0.010648596,0.0,2,0," jhung@linkedin.com",,69,31,17,Monday,32,1,9,9,0.7777778,6,3.5,1033,3e06a5dcea8224ba71aec284df23b47d536bb06d-hadoop-yarn-project-hadoop-yarn-hadoop-yarn-client-src-main-java-org-apache-hadoop-yarn-client-api-impl-AMRMClientImpl.java
clean,0.2820513,0.2820513,0.0,0,0," jhung@linkedin.com",,4,4,17,Monday,2110,1,9,9,0.7777778,6,3.5,39,3e06a5dcea8224ba71aec284df23b47d536bb06d-hadoop-yarn-project-hadoop-yarn-hadoop-yarn-server-hadoop-yarn-server-resourcemanager-src-main-java-org-apache-hadoop-yarn-server-resourcemanager-rmapp-attempt-event-RMAppAttemptStatusupdateEvent.java
clean,0.01861252,0.01861252,0.0,0,0," jhung@linkedin.com",,27,17,17,Monday,180,1,9,9,0.7777778,6,3.5,591,3e06a5dcea8224ba71aec284df23b47d536bb06d-hadoop-yarn-project-hadoop-yarn-hadoop-yarn-client-src-main-java-org-apache-hadoop-yarn-client-api-async-AMRMClientAsync.java
clean,0.12771739,0.12228261,0.0054347827,3,1," jhung@linkedin.com",,28,18,17,Monday,162,1,9,9,0.7777778,6,3.5,368,3e06a5dcea8224ba71aec284df23b47d536bb06d-hadoop-yarn-project-hadoop-yarn-hadoop-yarn-api-src-main-java-org-apache-hadoop-yarn-api-protocolrecords-AllocateRequest.java
clean,0.008710802,0.008710802,0.0,0,7," jhung@linkedin.com",,226,45,17,Monday,104,1,9,9,0.7777778,6,3.5,2296,3e06a5dcea8224ba71aec284df23b47d536bb06d-hadoop-yarn-project-hadoop-yarn-hadoop-yarn-server-hadoop-yarn-server-resourcemanager-src-main-java-org-apache-hadoop-yarn-server-resourcemanager-rmapp-attempt-RMAppAttemptImpl.java
clean,0.011820331,0.011820331,0.0,0,0," jhung@linkedin.com",,35,19,17,Monday,180,1,9,9,0.7777778,6,3.5,423,3e06a5dcea8224ba71aec284df23b47d536bb06d-hadoop-yarn-project-hadoop-yarn-hadoop-yarn-client-src-main-java-org-apache-hadoop-yarn-client-api-async-impl-AMRMClientAsyncImpl.java
clean,0.003937008,0.001968504,0.001968504,0,1," jhung@linkedin.com",,15,10,17,Monday,3,1,9,9,0.7777778,6,3.5,508,3e06a5dcea8224ba71aec284df23b47d536bb06d-hadoop-yarn-project-hadoop-yarn-hadoop-yarn-server-hadoop-yarn-server-resourcemanager-src-main-java-org-apache-hadoop-yarn-server-resourcemanager-DefaultAMSProcessor.java
clean,0.05636743,0.05427975,0.0020876827,2,2," jhung@linkedin.com",,15,11,17,Monday,180,1,9,9,0.7777778,6,3.5,479,3e06a5dcea8224ba71aec284df23b47d536bb06d-hadoop-yarn-project-hadoop-yarn-hadoop-yarn-common-src-main-java-org-apache-hadoop-yarn-api-protocolrecords-impl-pb-AllocateRequestPBImpl.java
clean,0.09009009,0.08108108,0.009009009,0,0," jhung@linkedin.com",,5,4,14,Thursday,331,1,4,5,1.0,7,4.5,111,2ab611d48b7669b31bd2c9b918f47251da77d0f6-hadoop-yarn-project-hadoop-yarn-hadoop-yarn-server-hadoop-yarn-server-resourcemanager-src-main-java-org-apache-hadoop-yarn-server-resourcemanager-scheduler-fifo-FifoAppAttempt.java
