isBuggy,Modify Lines,Add Lines,Delete Lines,Distribution modified Lines,numOfBIC,AuthorID,fileAge,SumOfSourceRevision,SumOfDeveloper,CommitHour,CommitDate,AGE,numOfSubsystems,numOfDirectories,numOfFiles,NUC,developerExperience,REXP,LT,Key
clean,0.02829426,0.020210186,0.008084075,9,5," ayushsaxena@apache.org",,139,36,20,Wednesday,77,1,1,2,1.0,1,1.0,1237,c1caab40f27e3e4f58ff1b5ef3e93efc56bbecbe-hadoop-hdfs-project-hadoop-hdfs-src-main-java-org-apache-hadoop-hdfs-server-blockmanagement-BlockPlacementPolicyDefault.java
clean,0.04761905,0.04761905,0.0,1,2," ayushsaxena@apache.org",,47,17,20,Wednesday,210,1,1,2,1.0,1,1.0,252,c1caab40f27e3e4f58ff1b5ef3e93efc56bbecbe-hadoop-hdfs-project-hadoop-hdfs-src-main-java-org-apache-hadoop-hdfs-server-blockmanagement-BlockPlacementPolicy.java
clean,0.026845638,0.020134227,0.0067114094,1,0," ayushsaxena@apache.org",,2,2,12,Saturday,461,1,3,4,1.0,3,3.0,149,0dbd87874a16403f537ef31f45ab0fe05924af6f-hadoop-hdfs-project-hadoop-hdfs-rbf-src-main-java-org-apache-hadoop-hdfs-server-federation-metrics-StateStoreMetrics.java
clean,0.049868766,0.023622047,0.026246719,0,0," ayushsaxena@apache.org",,10,7,11,Wednesday,0,1,1,1,1.0,2,2.0,762,9a9fbbe145432136d85d2d2e133364c7e79e65e1-hadoop-hdfs-project-hadoop-hdfs-rbf-src-main-java-org-apache-hadoop-hdfs-server-federation-router-Router.java
clean,0.011964736,0.007556675,0.0044080606,1,0," ayushsaxena@apache.org",,40,14,12,Saturday,0,1,3,4,1.0,3,3.0,1588,0dbd87874a16403f537ef31f45ab0fe05924af6f-hadoop-hdfs-project-hadoop-hdfs-rbf-src-main-java-org-apache-hadoop-hdfs-server-federation-router-RouterRpcServer.java
clean,0.15789473,0.118421055,0.039473683,0,0," ayushsaxena@apache.org",,6,6,12,Saturday,0,1,3,4,1.0,3,3.0,228,0dbd87874a16403f537ef31f45ab0fe05924af6f-hadoop-hdfs-project-hadoop-hdfs-rbf-src-main-java-org-apache-hadoop-hdfs-server-federation-metrics-FederationRPCPerformanceMonitor.java
clean,0.06858407,0.042035397,0.026548672,1,0," ayushsaxena@apache.org",,5,4,12,Saturday,264,1,3,4,1.0,3,3.0,452,0dbd87874a16403f537ef31f45ab0fe05924af6f-hadoop-hdfs-project-hadoop-hdfs-rbf-src-main-java-org-apache-hadoop-hdfs-server-federation-store-StateStoreService.java
clean,0.073569484,0.065395094,0.008174387,4,0," ayushsaxena@apache.org",,6,4,17,Friday,0,1,1,2,1.0,16,16.0,367,ddbe08db3323431693ceb91ca00bc138be7577b0-hadoop-hdfs-project-hadoop-hdfs-rbf-src-main-java-org-apache-hadoop-hdfs-server-federation-router-NamenodeHeartbeatService.java
clean,0.0061919503,0.0061919503,0.0,0,0," ayushsaxena@apache.org",,15,4,10,Saturday,0,1,1,2,1.0,17,17.0,323,6915d7e13c2afbb2738176ba55ea0774f25e1264-hadoop-hdfs-project-hadoop-hdfs-rbf-src-main-java-org-apache-hadoop-hdfs-server-federation-router-RBFConfigKeys.java
clean,0.07116564,0.058895707,0.012269938,6,0," ayushsaxena@apache.org",,1,1,08,Tuesday,0,1,2,5,1.0,18,18.0,815,ade8d3b60ecdab55bd61a71905ea3dbba0922f3e-hadoop-hdfs-project-hadoop-hdfs-rbf-src-main-java-org-apache-hadoop-hdfs-server-federation-metrics-RBFMetrics.java
clean,0.03809524,0.01904762,0.01904762,1,0," ayushsaxena@apache.org",,4,3,01,Wednesday,0,1,1,5,0.6,12,12.0,105,ffbb6b6557f4eb8587c7d57cda38f2a0de573f8b-hadoop-hdfs-project-hadoop-hdfs-rbf-src-main-java-org-apache-hadoop-hdfs-server-federation-router-RouterStoragePolicy.java
clean,0.011173184,0.011173184,0.0,1,0," ayushsaxena@apache.org",,4,4,07,Saturday,0,1,8,13,0.9230769,4,4.0,179,6c42d4050461ab71c88f123569649793dc53aebd-hadoop-hdfs-project-hadoop-hdfs-rbf-src-main-java-org-apache-hadoop-hdfs-server-federation-store-impl-MountTableStoreImpl.java
clean,0.024707412,0.020806242,0.0039011703,2,0," ayushsaxena@apache.org",,12,7,10,Saturday,0,1,1,2,1.0,17,17.0,769,6915d7e13c2afbb2738176ba55ea0774f25e1264-hadoop-hdfs-project-hadoop-hdfs-rbf-src-main-java-org-apache-hadoop-hdfs-server-federation-router-Router.java
