isBuggy,Modify Lines,Add Lines,Delete Lines,Distribution modified Lines,numOfBIC,AuthorID,fileAge,SumOfSourceRevision,SumOfDeveloper,CommitHour,CommitDate,AGE,numOfSubsystems,numOfDirectories,numOfFiles,NUC,developerExperience,REXP,LT,Key
clean,0.0123893805,0.0123893805,0.0,0,2," alexparvulescu@apache.org",,4,3,15,Monday,438,1,1,1,1.0,1,1.0,565,41b5ca7aca5d84a52aa5bca9314a0df0fdd26bab-jackrabbit-jcr-commons-src-main-java-org-apache-jackrabbit-commons-query-sql2-QOMFormatter.java
clean,0.002991027,0.002991027,0.0,0,0," alexparvulescu@apache.org",,2,2,11,Tuesday,64,1,1,1,1.0,2,2.0,1003,9e32b77d58f3476911ad3349024d4bf406fddeaa-jackrabbit-jcr-commons-src-main-java-org-apache-jackrabbit-commons-query-sql2-Parser.java
buggy,0.0261348,0.0137551585,0.012379643,1,4," alexparvulescu@apache.org",,14,4,12,Tuesday,38,1,1,1,1.0,3,3.0,727,a30ae523b70b8ec3aceab51157c4cc0660d5b4cf-jackrabbit-core-src-main-java-org-apache-jackrabbit-core-query-lucene-LuceneQueryFactory.java
buggy,0.0384,0.0224,0.016,2,19," alexparvulescu@apache.org",,29,4,14,Friday,52,1,1,1,1.0,4,4.0,625,7147532632f8b2ba818c1ce533ca0ddf6aaeea86-jackrabbit-core-src-main-java-org-apache-jackrabbit-core-query-lucene-AbstractIndex.java
clean,0.01734104,0.0057803467,0.011560693,0,4," alexparvulescu@apache.org",,8,3,04,Sunday,668,1,1,5,1.0,5,5.0,173,76167d6c8241472dc01c14c66ad14405830c4990-jackrabbit-core-src-main-java-org-apache-jackrabbit-core-query-lucene-Recovery.java
clean,0.020858895,0.009815951,0.011042945,2,48," alexparvulescu@apache.org",,100,6,04,Sunday,53,1,1,5,1.0,5,5.0,2445,76167d6c8241472dc01c14c66ad14405830c4990-jackrabbit-core-src-main-java-org-apache-jackrabbit-core-query-lucene-SearchIndex.java
clean,0.5555556,0.41111112,0.14444445,4,3," alexparvulescu@apache.org",,4,3,04,Sunday,128,1,1,5,1.0,5,5.0,90,76167d6c8241472dc01c14c66ad14405830c4990-jackrabbit-core-src-main-java-org-apache-jackrabbit-core-query-lucene-SingletonTokenStream.java
clean,0.014211275,0.008053055,0.0061582187,1,27," alexparvulescu@apache.org",,59,6,04,Sunday,127,1,1,5,1.0,5,5.0,2111,76167d6c8241472dc01c14c66ad14405830c4990-jackrabbit-core-src-main-java-org-apache-jackrabbit-core-query-lucene-MultiIndex.java
clean,0.022257552,0.017488075,0.004769475,1,19," alexparvulescu@apache.org",,30,4,04,Sunday,8,1,1,5,1.0,5,5.0,629,76167d6c8241472dc01c14c66ad14405830c4990-jackrabbit-core-src-main-java-org-apache-jackrabbit-core-query-lucene-AbstractIndex.java
buggy,0.057192374,0.036395147,0.020797227,3,8," alexparvulescu@apache.org",,15,3,19,Tuesday,67,1,1,2,0.5,6,6.0,577,2b81385922405d4d3619d74ae12d14110c203d92-jackrabbit-core-src-main-java-org-apache-jackrabbit-core-query-lucene-join-QueryEngine.java
buggy,0.19424461,0.16546762,0.02877698,4,2," alexparvulescu@apache.org",,2,2,19,Tuesday,67,1,1,2,0.5,6,6.0,139,2b81385922405d4d3619d74ae12d14110c203d92-jackrabbit-core-src-main-java-org-apache-jackrabbit-core-query-lucene-join-ConstraintSplitInfo.java
clean,0.060260586,0.04071661,0.019543974,4,8," alexparvulescu@apache.org",,18,5,09,Friday,148,1,1,1,1.0,7,7.0,614,7cf0ccd5940959b4f3de6aa85f517b39635a53fa-jackrabbit-core-src-main-java-org-apache-jackrabbit-core-query-lucene-DescendantSelfAxisQuery.java
clean,0.050632913,0.03797468,0.012658228,1,2," alexparvulescu@apache.org",,3,2,14,Monday,12,1,1,1,1.0,8,8.0,158,9d838a4fc73bc8cb94ad4186aad9eb0546384b68-jackrabbit-core-src-main-java-org-apache-jackrabbit-core-query-lucene-join-ConstraintSplitInfo.java
clean,0.025798526,0.013104013,0.0126945125,0,48," alexparvulescu@apache.org",,101,6,08,Tuesday,30,1,1,1,1.0,9,9.0,2442,3d23c22e17ab6670f49ba2474806ce6b0d976959-jackrabbit-core-src-main-java-org-apache-jackrabbit-core-query-lucene-SearchIndex.java
clean,0.34812286,0.20307167,0.1450512,15,8," alexparvulescu@apache.org",,16,3,16,Wednesday,14,1,1,3,1.0,10,10.0,586,9df5bcacbb89e47aeefb02e5839732d53e3a2427-jackrabbit-core-src-main-java-org-apache-jackrabbit-core-query-lucene-join-QueryEngine.java
