isBuggy,Modify Lines,Add Lines,Delete Lines,Distribution modified Lines,numOfBIC,AuthorID,fileAge,SumOfSourceRevision,SumOfDeveloper,CommitHour,CommitDate,AGE,numOfSubsystems,numOfDirectories,numOfFiles,NUC,developerExperience,REXP,LT,Key
clean,0.005449591,0.0027247956,0.0027247956,0,8," dbrosius@apache.org",,14,7,11,Wednesday,305,1,1,1,1.0,1,1.0,367,599c42826513341cef3598d36ed70175f32f6705-jackrabbit-core-src-main-java-org-apache-jackrabbit-core-xml-SysViewImportHandler.java
clean,0.01,0.005,0.005,0,0," dbrosius@apache.org",,2,2,04,Thursday,378,1,1,1,1.0,2,2.0,200,58222d062118fff94e164fdcbefd038a28d51c08-jackrabbit-jcr-rmi-src-main-java-org-apache-jackrabbit-rmi-value-SerializableBinary.java
clean,0.008032128,0.004016064,0.004016064,0,1," dbrosius@apache.org",,3,2,04,Wednesday,105,3,13,18,0.8888889,3,3.0,249,9547b884f9949a52747d21616918f3d9065eb8bb-jackrabbit-core-src-main-java-org-apache-jackrabbit-core-security-authorization-acl-CachingEntryCollector.java
clean,0.001545595,7.727975E-4,7.727975E-4,0,1," dbrosius@apache.org",,5,3,04,Wednesday,140,3,13,18,0.8888889,3,3.0,1294,9547b884f9949a52747d21616918f3d9065eb8bb-jackrabbit-jcr-commons-src-main-java-org-apache-jackrabbit-commons-query-GQL.java
clean,0.012121212,0.006060606,0.006060606,0,1," dbrosius@apache.org",,3,3,04,Wednesday,392,3,13,18,0.8888889,3,3.0,165,9547b884f9949a52747d21616918f3d9065eb8bb-jackrabbit-jcr-server-src-main-java-org-apache-jackrabbit-webdav-simple-LocatorFactoryImpl.java
clean,0.0069204154,0.0034602077,0.0034602077,0,8," dbrosius@apache.org",,15,5,04,Wednesday,188,3,13,18,0.8888889,3,3.0,289,9547b884f9949a52747d21616918f3d9065eb8bb-jackrabbit-core-src-main-java-org-apache-jackrabbit-core-security-user-IndexNodeResolver.java
clean,0.0019361085,9.680542E-4,9.680542E-4,0,16," dbrosius@apache.org",,21,6,04,Wednesday,54,3,13,18,0.8888889,3,3.0,1033,9547b884f9949a52747d21616918f3d9065eb8bb-jackrabbit-core-src-main-java-org-apache-jackrabbit-core-query-lucene-IndexingConfigurationImpl.java
clean,0.007380074,0.003690037,0.003690037,0,6," dbrosius@apache.org",,8,4,04,Wednesday,214,3,13,18,0.8888889,3,3.0,271,9547b884f9949a52747d21616918f3d9065eb8bb-jackrabbit-core-src-main-java-org-apache-jackrabbit-core-security-user-NodeResolver.java
clean,0.005449591,0.0027247956,0.0027247956,0,8," dbrosius@apache.org",,15,7,04,Wednesday,6,3,13,18,0.8888889,3,3.0,367,9547b884f9949a52747d21616918f3d9065eb8bb-jackrabbit-core-src-main-java-org-apache-jackrabbit-core-xml-SysViewImportHandler.java
clean,0.0056338026,0.0028169013,0.0028169013,0,0," dbrosius@apache.org",,2,2,04,Wednesday,624,3,13,18,0.8888889,3,3.0,355,9547b884f9949a52747d21616918f3d9065eb8bb-jackrabbit-core-src-main-java-org-apache-jackrabbit-core-journal-MemoryJournal.java
clean,0.008064516,0.004032258,0.004032258,0,1," dbrosius@apache.org",,5,4,04,Wednesday,607,3,13,18,0.8888889,3,3.0,248,9547b884f9949a52747d21616918f3d9065eb8bb-jackrabbit-jcr-commons-src-main-java-org-apache-jackrabbit-util-TransientFileFactory.java
