isBuggy,Modify Lines,Add Lines,Delete Lines,Distribution modified Lines,numOfBIC,AuthorID,fileAge,SumOfSourceRevision,SumOfDeveloper,CommitHour,CommitDate,AGE,numOfSubsystems,numOfDirectories,numOfFiles,NUC,developerExperience,REXP,LT,Key
clean,0.035928145,0.017964073,0.017964073,0,0," khmarbaise@apache.org",,7,5,20,Saturday,98,1,3,5,0.6,6,4.5,167,d4e299acec5dbb1f80766eb2e0a6ad533e3b1077-maven-compat-src-main-java-org-apache-maven-artifact-resolver-DebugResolutionListener.java
clean,0.13841368,0.077760495,0.060653187,10,11," khmarbaise@apache.org",,95,12,20,Saturday,98,1,3,5,0.6,6,4.5,643,d4e299acec5dbb1f80766eb2e0a6ad533e3b1077-maven-compat-src-main-java-org-apache-maven-artifact-resolver-DefaultArtifactResolver.java
clean,0.25454545,0.16363636,0.09090909,1,0," khmarbaise@apache.org",,6,3,20,Saturday,1917,1,3,5,0.6,6,4.5,55,d4e299acec5dbb1f80766eb2e0a6ad533e3b1077-maven-compat-src-main-java-org-apache-maven-artifact-repository-ArtifactRepositoryFactory.java
clean,0.49541286,0.27522936,0.22018349,0,0," khmarbaise@apache.org",,22,8,20,Saturday,98,1,3,5,0.6,6,4.5,109,d4e299acec5dbb1f80766eb2e0a6ad533e3b1077-maven-compat-src-main-java-org-apache-maven-artifact-resolver-ArtifactResolver.java
clean,0.0050251256,0.0025125628,0.0025125628,0,1," khmarbaise@apache.org",,24,7,20,Saturday,98,1,3,5,0.6,6,4.5,796,d4e299acec5dbb1f80766eb2e0a6ad533e3b1077-maven-compat-src-main-java-org-apache-maven-repository-legacy-resolver-DefaultLegacyArtifactCollector.java
clean,0.36162362,0.003690037,0.35793358,1,11," khmarbaise@apache.org",,49,13,16,Wednesday,15,1,1,1,1.0,7,5.5,271,8a51f9e5121a4cff75fbc7ddaf0b7eea9c9d4e10-maven-embedder-src-main-java-org-apache-maven-cli-CLIManager.java
buggy,0.03529412,0.019607844,0.015686275,2,13," khmarbaise@apache.org",,27,9,15,Friday,118,1,1,1,1.0,8,6.5,255,72e2478ec589e906afa1409c192cee7e33adde96-maven-core-src-main-java-org-apache-maven-ReactorReader.java
buggy,0.0390625,0.0234375,0.015625,2,14," khmarbaise@apache.org",,28,9,17,Friday,0,1,1,1,1.0,9,7.5,256,b9cc9c3652d43f0efce36d57c0ec1de35d4e7c56-maven-core-src-main-java-org-apache-maven-ReactorReader.java
buggy,0.04263566,0.011627907,0.031007752,2,15," khmarbaise@apache.org",,29,9,20,Friday,0,1,1,1,1.0,10,8.5,258,f3a3ef2632683dd1627ca42a4ded87337e937823-maven-core-src-main-java-org-apache-maven-ReactorReader.java
buggy,0.03952569,0.023715414,0.015810277,3,16," khmarbaise@apache.org",,30,9,16,Sunday,1,1,1,1,1.0,11,9.5,253,20854ce7be9837639f1e5f92f33bfb28370d1690-maven-core-src-main-java-org-apache-maven-ReactorReader.java
