isBuggy,Modify Lines,Add Lines,Delete Lines,Distribution modified Lines,numOfBIC,AuthorID,fileAge,SumOfSourceRevision,SumOfDeveloper,CommitHour,CommitDate,AGE,numOfSubsystems,numOfDirectories,numOfFiles,NUC,developerExperience,REXP,LT,Key
clean,0.0056497175,0.0056497175,0.0,0,0," rfscholte@apache.org",,14,5,17,Friday,601,1,1,1,1.0,12,3.1666667,354,f4e07acbc2a496a8866b8270e7f7a9fd44085f71-maven-plugin-api-src-main-java-org-apache-maven-plugin-descriptor-PluginDescriptorBuilder.java
clean,0.047169812,0.028301887,0.018867925,0,1," rfscholte@apache.org",,18,8,17,Sunday,44,1,1,1,1.0,13,4.166667,106,8f025faab8fe0a3a6dbf3b76742fe365f4352e64-maven-core-src-main-java-org-apache-maven-lifecycle-LifecycleExecutionException.java
clean,0.015209125,0.0076045627,0.0076045627,0,1," rfscholte@apache.org",,10,6,16,Friday,598,7,22,55,0.38181818,14,5.166667,263,587317b0095fc5d51041fed9e5b4786246a29a7b-maven-core-src-main-java-org-apache-maven-lifecycle-internal-DefaultLifecyclePluginAnalyzer.java
clean,0.05952381,0.035714287,0.023809524,0,0," rfscholte@apache.org",,14,5,16,Friday,629,7,22,55,0.38181818,14,5.166667,84,587317b0095fc5d51041fed9e5b4786246a29a7b-maven-core-src-main-java-org-apache-maven-lifecycle-internal-ExecutionPlanItem.java
clean,0.09090909,0.06818182,0.022727273,0,0," rfscholte@apache.org",,6,4,16,Friday,838,7,22,55,0.38181818,14,5.166667,44,587317b0095fc5d51041fed9e5b4786246a29a7b-maven-core-src-main-java-org-apache-maven-execution-ProjectExecutionListener.java
clean,0.013071896,0.006535948,0.006535948,0,0," rfscholte@apache.org",,3,3,16,Friday,35,7,22,55,0.38181818,14,5.166667,153,587317b0095fc5d51041fed9e5b4786246a29a7b-maven-resolver-provider-src-main-java-org-apache-maven-repository-internal-ArtifactDescriptorReaderDelegate.java
clean,0.10638298,0.06382979,0.04255319,0,0," rfscholte@apache.org",,6,4,16,Friday,737,7,22,55,0.38181818,14,5.166667,47,587317b0095fc5d51041fed9e5b4786246a29a7b-maven-core-src-main-java-org-apache-maven-lifecycle-internal-builder-Builder.java
clean,0.04477612,0.029850746,0.014925373,0,0," rfscholte@apache.org",,7,4,16,Friday,629,7,22,55,0.38181818,14,5.166667,67,587317b0095fc5d51041fed9e5b4786246a29a7b-maven-core-src-main-java-org-apache-maven-lifecycle-internal-BuildListCalculator.java
clean,0.06666667,0.044444446,0.022222223,0,0," rfscholte@apache.org",,7,4,16,Friday,22,7,22,55,0.38181818,14,5.166667,45,587317b0095fc5d51041fed9e5b4786246a29a7b-maven-core-src-main-java-org-apache-maven-execution-scope-WeakMojoExecutionListener.java
clean,0.0041724616,0.0013908206,0.0027816412,0,1," rfscholte@apache.org",,26,11,16,Friday,22,7,22,55,0.38181818,14,5.166667,719,587317b0095fc5d51041fed9e5b4786246a29a7b-maven-plugin-api-src-main-java-org-apache-maven-plugin-descriptor-MojoDescriptor.java
clean,0.06140351,0.03508772,0.02631579,0,2," rfscholte@apache.org",,9,6,16,Friday,22,7,22,55,0.38181818,14,5.166667,114,587317b0095fc5d51041fed9e5b4786246a29a7b-maven-core-src-main-java-org-apache-maven-lifecycle-internal-DependencyContext.java
clean,0.008576329,0.0051457975,0.0034305318,0,3," rfscholte@apache.org",,29,10,16,Friday,22,7,22,55,0.38181818,14,5.166667,583,587317b0095fc5d51041fed9e5b4786246a29a7b-maven-artifact-src-main-java-org-apache-maven-artifact-versioning-VersionRange.java
clean,0.014925373,0.0,0.014925373,0,0," rfscholte@apache.org",,6,4,16,Friday,2240,7,22,55,0.38181818,14,5.166667,67,587317b0095fc5d51041fed9e5b4786246a29a7b-maven-core-src-main-java-org-apache-maven-lifecycle-internal-LifecycleExecutionPlanCalculator.java
clean,0.03267974,0.019607844,0.013071896,0,1," rfscholte@apache.org",,3,3,16,Friday,629,7,22,55,0.38181818,14,5.166667,153,587317b0095fc5d51041fed9e5b4786246a29a7b-maven-core-src-main-java-org-apache-maven-lifecycle-internal-builder-multithreaded-ConcurrencyDependencyGraph.java
clean,0.125,0.041666668,0.083333336,1,0," rfscholte@apache.org",,12,8,16,Friday,22,7,22,55,0.38181818,14,5.166667,72,587317b0095fc5d51041fed9e5b4786246a29a7b-maven-plugin-api-src-main-java-org-apache-maven-plugin-Mojo.java
clean,0.1,0.075,0.025,0,0," rfscholte@apache.org",,6,4,16,Friday,838,7,22,55,0.38181818,14,5.166667,40,587317b0095fc5d51041fed9e5b4786246a29a7b-maven-core-src-main-java-org-apache-maven-execution-MojoExecutionListener.java
clean,0.004149378,0.002074689,0.002074689,0,18," rfscholte@apache.org",,96,14,16,Friday,22,7,22,55,0.38181818,14,5.166667,482,587317b0095fc5d51041fed9e5b4786246a29a7b-maven-core-src-main-java-org-apache-maven-plugin-PluginParameterExpressionEvaluator.java
clean,0.027472528,0.016483517,0.010989011,0,0," rfscholte@apache.org",,13,6,16,Friday,629,7,22,55,0.38181818,14,5.166667,182,587317b0095fc5d51041fed9e5b4786246a29a7b-maven-core-src-main-java-org-apache-maven-lifecycle-internal-LifecycleDebugLogger.java
clean,0.03164557,0.01898734,0.012658228,0,0," rfscholte@apache.org",,11,5,16,Friday,22,7,22,55,0.38181818,14,5.166667,158,587317b0095fc5d51041fed9e5b4786246a29a7b-maven-core-src-main-java-org-apache-maven-lifecycle-internal-ProjectBuildList.java
clean,0.041666668,0.020833334,0.020833334,0,0," rfscholte@apache.org",,7,4,16,Friday,781,7,22,55,0.38181818,14,5.166667,48,587317b0095fc5d51041fed9e5b4786246a29a7b-maven-core-src-main-java-org-apache-maven-toolchain-ToolchainPrivate.java
clean,0.03846154,0.012820513,0.025641026,0,0," rfscholte@apache.org",,6,3,16,Friday,2378,7,22,55,0.38181818,14,5.166667,78,587317b0095fc5d51041fed9e5b4786246a29a7b-maven-core-src-main-java-org-apache-maven-lifecycle-internal-PhaseRecorder.java
clean,0.055555556,0.027777778,0.027777778,0,0," rfscholte@apache.org",,1,1,16,Friday,0,7,22,55,0.38181818,14,5.166667,36,587317b0095fc5d51041fed9e5b4786246a29a7b-maven-core-src-main-java-org-apache-maven-project-RepositorySessionDecorator.java
clean,0.13636364,0.060606062,0.07575758,6,1," rfscholte@apache.org",,13,6,16,Friday,44,7,22,55,0.38181818,14,5.166667,198,587317b0095fc5d51041fed9e5b4786246a29a7b-maven-plugin-api-src-main-java-org-apache-maven-plugin-AbstractMojo.java
clean,0.03631285,0.025139665,0.011173184,1,0," rfscholte@apache.org",,8,7,16,Friday,22,7,22,55,0.38181818,14,5.166667,358,587317b0095fc5d51041fed9e5b4786246a29a7b-maven-core-src-main-java-org-apache-maven-artifact-resolver-ArtifactResolutionResult.java
clean,0.016771488,0.008385744,0.008385744,0,0," rfscholte@apache.org",,4,4,16,Friday,35,7,22,55,0.38181818,14,5.166667,477,587317b0095fc5d51041fed9e5b4786246a29a7b-maven-core-src-main-java-org-apache-maven-lifecycle-internal-builder-multithreaded-ThreadOutputMuxer.java
clean,0.044444446,0.033333335,0.011111111,0,0," rfscholte@apache.org",,2,2,16,Friday,838,7,22,55,0.38181818,14,5.166667,90,587317b0095fc5d51041fed9e5b4786246a29a7b-maven-core-src-main-java-org-apache-maven-execution-ProjectExecutionEvent.java
clean,0.10526316,0.078947365,0.02631579,0,0," rfscholte@apache.org",,1,1,16,Friday,0,7,22,55,0.38181818,14,5.166667,38,587317b0095fc5d51041fed9e5b4786246a29a7b-maven-core-src-main-java-org-apache-maven-lifecycle-internal-ProjectArtifactFactory.java
clean,0.05479452,0.02739726,0.02739726,0,0," rfscholte@apache.org",,8,5,16,Friday,22,7,22,55,0.38181818,14,5.166667,73,587317b0095fc5d51041fed9e5b4786246a29a7b-maven-core-src-main-java-org-apache-maven-lifecycle-internal-TaskSegment.java
clean,0.071428575,0.042857144,0.028571429,0,0," rfscholte@apache.org",,8,5,16,Friday,22,7,22,55,0.38181818,14,5.166667,70,587317b0095fc5d51041fed9e5b4786246a29a7b-maven-core-src-main-java-org-apache-maven-lifecycle-internal-ProjectIndex.java
clean,0.17088607,0.056962024,0.11392405,8,0," rfscholte@apache.org",,4,3,16,Friday,2950,7,22,55,0.38181818,14,5.166667,158,587317b0095fc5d51041fed9e5b4786246a29a7b-maven-plugin-api-src-main-java-org-apache-maven-plugin-logging-Log.java
clean,0.019704433,0.009852217,0.009852217,0,2," rfscholte@apache.org",,8,7,16,Friday,52,7,22,55,0.38181818,14,5.166667,203,587317b0095fc5d51041fed9e5b4786246a29a7b-maven-core-src-main-java-org-apache-maven-lifecycle-internal-builder-multithreaded-MultiThreadedBuilder.java
clean,0.011764706,0.005882353,0.005882353,1,0," rfscholte@apache.org",,7,5,16,Friday,27,7,22,55,0.38181818,14,5.166667,340,587317b0095fc5d51041fed9e5b4786246a29a7b-maven-core-src-main-java-org-apache-maven-repository-ArtifactTransferEvent.java
clean,0.046511628,0.034883723,0.011627907,0,0," rfscholte@apache.org",,3,3,16,Friday,838,7,22,55,0.38181818,14,5.166667,86,587317b0095fc5d51041fed9e5b4786246a29a7b-maven-core-src-main-java-org-apache-maven-execution-MojoExecutionEvent.java
clean,0.09836066,0.04918033,0.04918033,0,0," rfscholte@apache.org",,8,5,16,Friday,838,7,22,55,0.38181818,14,5.166667,61,587317b0095fc5d51041fed9e5b4786246a29a7b-maven-core-src-main-java-org-apache-maven-lifecycle-internal-LifecycleTaskSegmentCalculator.java
clean,0.0013689254,6.844627E-4,6.844627E-4,0,2," rfscholte@apache.org",,18,6,16,Friday,510,7,22,55,0.38181818,14,5.166667,2922,587317b0095fc5d51041fed9e5b4786246a29a7b-maven-model-src-main-java-org-apache-maven-model-merge-ModelMerger.java
clean,0.013089005,0.007853403,0.005235602,0,1," rfscholte@apache.org",,18,8,16,Friday,629,7,22,55,0.38181818,14,5.166667,382,587317b0095fc5d51041fed9e5b4786246a29a7b-maven-core-src-main-java-org-apache-maven-lifecycle-internal-MojoExecutor.java
clean,0.04347826,0.014492754,0.028985508,0,0," rfscholte@apache.org",,6,4,16,Friday,2055,7,22,55,0.38181818,14,5.166667,69,587317b0095fc5d51041fed9e5b4786246a29a7b-maven-plugin-api-src-main-java-org-apache-maven-plugin-MojoFailureException.java
clean,0.0375,0.0125,0.025,0,0," rfscholte@apache.org",,11,7,16,Friday,2055,7,22,55,0.38181818,14,5.166667,80,587317b0095fc5d51041fed9e5b4786246a29a7b-maven-plugin-api-src-main-java-org-apache-maven-plugin-MojoExecutionException.java
clean,0.0023767082,0.0,0.0023767082,1,20," rfscholte@apache.org",,174,24,16,Friday,15,7,22,55,0.38181818,14,5.166667,1683,587317b0095fc5d51041fed9e5b4786246a29a7b-maven-embedder-src-main-java-org-apache-maven-cli-MavenCli.java
clean,0.032258064,0.010752688,0.021505376,0,0," rfscholte@apache.org",,9,5,16,Friday,39,7,22,55,0.38181818,14,5.166667,93,587317b0095fc5d51041fed9e5b4786246a29a7b-maven-core-src-main-java-org-apache-maven-lifecycle-internal-LifecyclePluginResolver.java
clean,0.015306123,0.010204081,0.0051020407,0,1," rfscholte@apache.org",,16,6,16,Friday,27,7,22,55,0.38181818,14,5.166667,392,587317b0095fc5d51041fed9e5b4786246a29a7b-maven-embedder-src-main-java-org-apache-maven-cli-event-ExecutionEventLogger.java
clean,0.07692308,0.03846154,0.03846154,1,0," rfscholte@apache.org",,5,3,16,Friday,1381,7,22,55,0.38181818,14,5.166667,78,587317b0095fc5d51041fed9e5b4786246a29a7b-maven-core-src-main-java-org-apache-maven-repository-legacy-metadata-ArtifactMetadataSource.java
clean,0.038709678,0.019354839,0.019354839,0,0," rfscholte@apache.org",,6,4,16,Friday,629,7,22,55,0.38181818,14,5.166667,155,587317b0095fc5d51041fed9e5b4786246a29a7b-maven-core-src-main-java-org-apache-maven-lifecycle-internal-DefaultLifecycleTaskSegmentCalculator.java
clean,0.11363637,0.06818182,0.045454547,0,0," rfscholte@apache.org",,3,2,16,Friday,719,7,22,55,0.38181818,14,5.166667,44,587317b0095fc5d51041fed9e5b4786246a29a7b-maven-core-src-main-java-org-apache-maven-lifecycle-MojoExecutionConfigurator.java
clean,0.0045500505,0.0020222447,0.002527806,3,22," rfscholte@apache.org",,140,17,16,Friday,22,7,22,55,0.38181818,14,5.166667,1978,587317b0095fc5d51041fed9e5b4786246a29a7b-maven-core-src-main-java-org-apache-maven-project-MavenProject.java
clean,0.11111111,0.06666667,0.044444446,0,0," rfscholte@apache.org",,7,4,16,Friday,22,7,22,55,0.38181818,14,5.166667,45,587317b0095fc5d51041fed9e5b4786246a29a7b-maven-core-src-main-java-org-apache-maven-lifecycle-internal-GoalTask.java
clean,0.017964073,0.008982036,0.008982036,0,3," rfscholte@apache.org",,24,7,16,Friday,629,7,22,55,0.38181818,14,5.166667,334,587317b0095fc5d51041fed9e5b4786246a29a7b-maven-core-src-main-java-org-apache-maven-lifecycle-internal-LifecycleDependencyResolver.java
clean,0.00681431,0.003407155,0.003407155,0,0," rfscholte@apache.org",,19,7,16,Friday,22,7,22,55,0.38181818,14,5.166667,587,587317b0095fc5d51041fed9e5b4786246a29a7b-maven-core-src-main-java-org-apache-maven-lifecycle-internal-DefaultLifecycleExecutionPlanCalculator.java
clean,0.007968128,0.003984064,0.003984064,0,0," rfscholte@apache.org",,6,5,16,Friday,22,7,22,55,0.38181818,14,5.166667,251,587317b0095fc5d51041fed9e5b4786246a29a7b-maven-core-src-main-java-org-apache-maven-artifact-resolver-ResolutionNode.java
clean,0.037037037,0.0,0.037037037,0,0," rfscholte@apache.org",,6,3,16,Friday,2448,7,22,55,0.38181818,14,5.166667,54,587317b0095fc5d51041fed9e5b4786246a29a7b-maven-model-builder-src-main-java-org-apache-maven-model-interpolation-ModelInterpolator.java
clean,0.010940919,0.0065645515,0.0043763677,0,18," rfscholte@apache.org",,61,10,16,Friday,22,7,22,55,0.38181818,14,5.166667,914,587317b0095fc5d51041fed9e5b4786246a29a7b-maven-core-src-main-java-org-apache-maven-plugin-internal-DefaultMavenPluginManager.java
clean,0.045454547,0.025974026,0.019480519,0,4," rfscholte@apache.org",,20,8,16,Friday,737,7,22,55,0.38181818,14,5.166667,154,587317b0095fc5d51041fed9e5b4786246a29a7b-maven-core-src-main-java-org-apache-maven-lifecycle-internal-LifecycleModuleBuilder.java
clean,0.016233766,0.0097402595,0.0064935065,0,0," rfscholte@apache.org",,12,7,16,Friday,22,7,22,55,0.38181818,14,5.166667,308,587317b0095fc5d51041fed9e5b4786246a29a7b-maven-core-src-main-java-org-apache-maven-lifecycle-internal-MojoDescriptorCreator.java
clean,0.06666667,0.022222223,0.044444446,0,0," rfscholte@apache.org",,5,4,16,Friday,2950,7,22,55,0.38181818,14,5.166667,45,587317b0095fc5d51041fed9e5b4786246a29a7b-maven-plugin-api-src-main-java-org-apache-maven-plugin-ContextEnabled.java
clean,0.16981132,0.10377359,0.06603774,0,0," rfscholte@apache.org",,6,4,16,Friday,838,7,22,55,0.38181818,14,5.166667,106,587317b0095fc5d51041fed9e5b4786246a29a7b-maven-core-src-main-java-org-apache-maven-lifecycle-internal-ProjectSegment.java
clean,0.015936255,0.00996016,0.005976096,1,0," rfscholte@apache.org",,19,8,16,Friday,35,7,22,55,0.38181818,14,5.166667,502,587317b0095fc5d51041fed9e5b4786246a29a7b-maven-artifact-src-main-java-org-apache-maven-artifact-versioning-ComparableVersion.java
clean,0.1,0.06,0.04,0,0," rfscholte@apache.org",,5,3,16,Friday,838,7,22,55,0.38181818,14,5.166667,50,587317b0095fc5d51041fed9e5b4786246a29a7b-maven-core-src-main-java-org-apache-maven-lifecycle-internal-LifecycleTask.java
