isBuggy,Modify Lines,Add Lines,Delete Lines,Distribution modified Lines,numOfBIC,AuthorID,fileAge,SumOfSourceRevision,SumOfDeveloper,CommitHour,CommitDate,AGE,numOfSubsystems,numOfDirectories,numOfFiles,NUC,developerExperience,REXP,LT,Key
clean,0.015822785,0.00949367,0.006329114,2,7," hboutemy@apache.org",,26,7,12,Saturday,1,1,1,1,1.0,181,60.30238,316,2f7daeff5802174c7b4ff8a4d2ac019b6406d03b-maven-model-builder-src-main-java-org-apache-maven-model-inheritance-DefaultInheritanceAssembler.java
clean,0.0053050397,0.0053050397,0.0,0,4," hboutemy@apache.org",,13,4,15,Saturday,464,1,1,1,1.0,182,34.818363,377,079f6b3ba3301035841e091cd237cd8295168741-maven-embedder-src-main-java-org-apache-maven-cli-event-ExecutionEventLogger.java
buggy,0.054037265,0.048447207,0.005590062,12,55," hboutemy@apache.org",,165,21,12,Sunday,0,2,3,5,1.0,183,35.818363,1610,b80915b8822b51aafa962a9ef53a61c0ac59033d-maven-embedder-src-main-java-org-apache-maven-cli-MavenCli.java
buggy,0.022857143,0.011428571,0.011428571,1,23," hboutemy@apache.org",,50,13,12,Sunday,475,2,3,5,1.0,183,35.818363,175,b80915b8822b51aafa962a9ef53a61c0ac59033d-maven-embedder-src-main-java-org-apache-maven-cli-CLIManager.java
buggy,0.30870712,0.17150396,0.13720317,13,5," hboutemy@apache.org",,14,4,12,Sunday,2,2,3,5,1.0,183,35.818363,379,b80915b8822b51aafa962a9ef53a61c0ac59033d-maven-embedder-src-main-java-org-apache-maven-cli-event-ExecutionEventLogger.java
buggy,0.030927835,0.020618556,0.010309278,1,21," hboutemy@apache.org",,63,16,12,Sunday,1,2,3,5,1.0,183,35.818363,194,b80915b8822b51aafa962a9ef53a61c0ac59033d-maven-embedder-src-main-java-org-apache-maven-cli-CLIReportingUtils.java
buggy,0.24324325,0.0990991,0.14414415,1,7," hboutemy@apache.org",,17,7,12,Sunday,793,2,3,5,1.0,183,35.818363,111,b80915b8822b51aafa962a9ef53a61c0ac59033d-maven-core-src-main-java-org-apache-maven-lifecycle-LifecycleExecutionException.java
clean,0.04040404,0.02020202,0.02020202,1,4," hboutemy@apache.org",,12,5,12,Saturday,2403,4,5,5,1.0,184,36.818363,198,84085c0a9ce4febee8be124fe61f02cd40185d20-maven-plugin-api-src-main-java-org-apache-maven-plugin-AbstractMojo.java
clean,0.0055632824,0.0027816412,0.0027816412,0,7," hboutemy@apache.org",,23,9,12,Saturday,584,4,5,5,1.0,184,36.818363,719,84085c0a9ce4febee8be124fe61f02cd40185d20-maven-plugin-api-src-main-java-org-apache-maven-plugin-descriptor-MojoDescriptor.java
clean,0.025974026,0.012987013,0.012987013,0,1," hboutemy@apache.org",,9,6,12,Saturday,555,4,5,5,1.0,184,36.818363,77,84085c0a9ce4febee8be124fe61f02cd40185d20-maven-core-src-main-java-org-apache-maven-AbstractMavenLifecycleParticipant.java
