isBuggy,Modify Lines,Add Lines,Delete Lines,Distribution modified Lines,numOfBIC,AuthorID,fileAge,SumOfSourceRevision,SumOfDeveloper,CommitHour,CommitDate,AGE,numOfSubsystems,numOfDirectories,numOfFiles,NUC,developerExperience,REXP,LT,Key
clean,0.016393442,0.008196721,0.008196721,0,0," manfred@simpligility.com",,5,3,17,Friday,0,1,1,1,1.0,1,1.0,122,83d12ec075c604e1546fb40439df7c7fc5b63c8a-maven-wrapper-src-main-java-org-apache-maven-wrapper-MavenWrapperMain.java
clean,0.016393442,0.008196721,0.008196721,0,0," manfred@simpligility.com",,6,3,18,Friday,0,1,1,1,1.0,2,2.0,122,a71bd825ec4e61d35e6830756821176f31446ea3-maven-wrapper-src-main-java-org-apache-maven-wrapper-MavenWrapperMain.java
clean,0.07377049,0.06557377,0.008196721,0,0," manfred@simpligility.com",,7,3,20,Tuesday,0,1,1,1,1.0,3,3.0,122,020545b5c62e7f0ab96048c3c73906c212e5d003-maven-wrapper-src-main-java-org-apache-maven-wrapper-MavenWrapperMain.java
clean,0.01754386,0.00877193,0.00877193,0,0," manfred@simpligility.com",,3,3,07,Thursday,0,1,1,1,1.0,4,4.0,114,638f527d56e12685642531c48e02c6af7644a766-maven-wrapper-src-main-java-org-apache-maven-wrapper-DefaultDownloader.java
clean,0.018181818,0.009090909,0.009090909,0,0," manfred@simpligility.com",,5,3,05,Saturday,0,1,1,1,1.0,5,5.0,110,7c3e488204e8e07e93b15c0f7dbdb133eadb9248-maven-wrapper-.mvn-wrapper-MavenWrapperDownloader.java
clean,0.018181818,0.009090909,0.009090909,0,0," manfred@simpligility.com",,6,3,06,Tuesday,0,1,1,1,1.0,6,6.0,110,51e7e6476b0454481855cca231669c9196f49f5e-maven-wrapper-.mvn-wrapper-MavenWrapperDownloader.java
clean,0.018181818,0.009090909,0.009090909,0,0," manfred@simpligility.com",,7,3,07,Tuesday,0,1,1,1,1.0,7,7.0,110,d6d69f8239a1fea67c862228e380c8f9ce88cc54-maven-wrapper-.mvn-wrapper-MavenWrapperDownloader.java
clean,0.018181818,0.009090909,0.009090909,0,0," manfred@simpligility.com",,8,3,17,Monday,0,1,1,1,1.0,8,8.0,110,7ee971eeee4aecec2f4e0d28b781e93ddfc55898-maven-wrapper-.mvn-wrapper-MavenWrapperDownloader.java
clean,0.018181818,0.009090909,0.009090909,0,0," manfred@simpligility.com",,9,3,22,Monday,0,1,1,1,1.0,9,9.0,110,4976f684d298892cd734cbcd312aaa42e01559a7-maven-wrapper-.mvn-wrapper-MavenWrapperDownloader.java
clean,0.05,0.025,0.025,0,0," manfred@simpligility.com",,12,5,21,Monday,0,1,2,3,1.0,10,10.0,120,95dcd2fb7984c3279c2a068e94b7a520a1dc43f8-maven-wrapper-.mvn-wrapper-MavenWrapperDownloader.java
